#{"t_start": 1749043248.6897776, "env_id": "Pendulum-v1"}
r,l,t
-972.163424,200,1.935956
-1796.564615,200,2.106212
-771.786347,200,2.299133
-1466.105847,200,2.552379
-1460.952953,200,2.720834
-1681.159177,200,2.897102
-876.86124,200,3.069788
-1737.763364,200,3.255459
-1078.555707,200,3.42754
-791.661276,200,3.59892
-847.438411,200,5.612555
-1753.965596,200,5.920007
-1264.848454,200,6.271195
-1221.225212,200,6.526001
-969.498906,200,7.265578
-1322.081992,200,7.614508
-1564.969858,200,7.875866
-1453.954396,200,8.068844
-794.312286,200,8.254942
-1305.834585,200,8.443639
-1279.642158,200,11.004785
-1659.45706,200,11.279716
-990.098834,200,11.503423
-1467.908376,200,11.790354
-862.474759,200,11.963967
-974.582064,200,12.139052
-1172.597969,200,12.334147
-1196.225493,200,12.535478
-1074.605263,200,12.72067
-1078.049334,200,12.898557
-1590.98587,200,14.521063
-1084.009389,200,14.695379
-1748.999755,200,14.887538
-1386.054005,200,15.076902
-1002.221322,200,15.266599
-1087.700178,200,15.453843
-1070.785674,200,15.705129
-1302.413407,200,15.95144
-884.953401,200,16.204378
-1198.289934,200,16.445698
-921.995333,200,19.253972
-946.600346,200,19.566203
-1075.965371,200,19.770776
-1765.425805,200,20.00821
-1309.695574,200,20.233661
-1071.104327,200,20.659427
-1592.894608,200,21.11381
-1029.377391,200,21.373886
-1539.566535,200,21.582631
-898.396329,200,21.776801
-1043.373256,200,21.962089
-1071.067978,200,29.527468
-1429.972105,200,29.795238
-1412.495829,200,29.989146
-1538.657871,200,30.182956
-827.250596,200,30.638562
-909.829011,200,31.133683
-1532.44064,200,31.642293
-994.219147,200,31.897822
-1025.790427,200,32.143039
-854.582414,200,32.34778
-868.01999,200,34.880297
-950.923309,200,35.090638
-1524.014367,200,35.299726
-978.34617,200,35.477912
-971.403052,200,35.653576
-1638.441668,200,35.828256
-1439.999133,200,36.196335
-1673.102678,200,36.566719
-890.859888,200,36.984733
-1253.682565,200,37.22764
-664.991265,200,39.42936
-867.681888,200,39.714117
-913.020922,200,39.899906
-1599.11826,200,40.115578
-758.96934,200,40.377637
-1086.39298,200,40.71614
-904.371691,200,40.922763
-865.531574,200,41.103763
-1071.738266,200,41.333006
-1068.508502,200,41.58077
-1237.388017,200,43.774147
-978.217221,200,44.02453
-1566.887839,200,44.366867
-753.372999,200,44.646156
-1657.119307,200,44.896173
-1168.485873,200,45.104215
-1170.067209,200,45.597111
-1130.403864,200,45.870182
-780.945506,200,46.075381
-1531.498056,200,46.341742
-817.473605,200,46.524415
-887.575794,200,49.272115
-1151.824807,200,49.760179
-1702.36407,200,49.962073
-1080.335646,200,50.18527
-1375.104088,200,50.379303
-1670.151779,200,50.560913
-1440.043431,200,50.747038
-1132.072014,200,51.022307
-938.461881,200,52.771097
-1089.731364,200,52.949416
-1529.715242,200,57.680218
-1331.451953,200,58.177767
-1180.989242,200,58.680938
-1337.677196,200,58.955811
-1023.787543,200,59.400243
-1492.611773,200,59.67944
-777.039535,200,59.878489
-1316.849538,200,60.095692
-954.045525,200,60.293804
-1076.136038,200,60.66932
-845.48557,200,63.753381
-1015.293286,200,63.970666
-1042.299442,200,64.288076
-1042.134702,200,64.480075
-1636.478409,200,64.672855
-920.168321,200,64.861331
-1039.012889,200,65.04983
-962.150275,200,65.250458
-1769.780613,200,65.576363
-1680.567827,200,65.837873
-972.889482,200,68.519397
-770.495784,200,69.092816
-1224.464225,200,69.387637
-1278.10586,200,69.611687
-881.022169,200,69.810248
-1292.612225,200,69.987706
-1631.727807,200,70.401478
-1613.120756,200,70.869668
-1072.808283,200,71.141891
